summonerName,team,teamId,gameId,games,championName,key,Win,lose,kills,assists,deaths,killsT,assistsT,deathsT,kda,ban,Avg BT,wR,Presence
Jankos,TH,Red,2768101.0,37,Vi,254,20.0,17.0,4.0,10.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,,0.5405405405405406,84.90566037735849
Markoon,SK,Red,2768108.0,37,Vi,254,20.0,17.0,0.0,1.0,5.0,121.0,267.0,122.0,3.180327868852459,8.0,,0.5405405405405406,84.90566037735849
Elyoya,MAD,Blue,2777132.0,37,Vi,254,20.0,17.0,4.0,5.0,6.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Malrang,KOI,Blue,2768877.0,37,Vi,254,20.0,17.0,2.0,9.0,1.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Jankos,TH,Red,2773955.0,37,Vi,254,20.0,17.0,7.0,11.0,3.0,121.0,267.0,122.0,3.180327868852459,8.0,5.0,0.5405405405405406,84.90566037735849
Sheo,BDS,Blue,2769929.0,37,Vi,254,20.0,17.0,3.0,12.0,3.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Razork,FNC,Red,2769911.0,37,Vi,254,20.0,17.0,1.0,1.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
113,AST,Red,2773569.0,37,Vi,254,20.0,17.0,2.0,4.0,4.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Bo,VIT,Blue,2768984.0,37,Vi,254,20.0,17.0,2.0,11.0,8.0,121.0,267.0,122.0,3.180327868852459,8.0,3.0,0.5405405405405406,84.90566037735849
Nisqy,MAD,Blue,2767440.0,35,Azir,268,21.0,14.0,6.0,6.0,1.0,134.0,221.0,108.0,3.287037037037037,8.0,6.0,0.6,81.13207547169812
Humanoid,FNC,Red,2778074.0,35,Azir,268,21.0,14.0,3.0,13.0,5.0,134.0,221.0,108.0,3.287037037037037,8.0,3.0,0.6,81.13207547169812
Humanoid,FNC,Red,2769911.0,35,Azir,268,21.0,14.0,1.0,1.0,3.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Sertuss,SK,Blue,2775898.0,35,Azir,268,21.0,14.0,2.0,2.0,6.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Sertuss,SK,Red,2778102.0,35,Azir,268,21.0,14.0,4.0,2.0,5.0,134.0,221.0,108.0,3.287037037037037,8.0,3.0,0.6,81.13207547169812
Ruby,TH,Blue,2774934.0,35,Azir,268,21.0,14.0,4.0,8.0,6.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
nuc,BDS,Red,2778032.0,35,Azir,268,21.0,14.0,6.0,3.0,3.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
Sertuss,SK,Blue,2769446.0,35,Azir,268,21.0,14.0,8.0,9.0,0.0,134.0,221.0,108.0,3.287037037037037,8.0,6.0,0.6,81.13207547169812
Ruby,TH,Blue,2767173.0,35,Azir,268,21.0,14.0,3.0,5.0,6.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
Humanoid,FNC,Red,2774534.0,35,Azir,268,21.0,14.0,0.0,1.0,3.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
Ruby,TH,Blue,2768454.0,35,Azir,268,21.0,14.0,8.0,7.0,3.0,134.0,221.0,108.0,3.287037037037037,8.0,6.0,0.6,81.13207547169812
Ruby,TH,Blue,2774603.0,35,Azir,268,21.0,14.0,2.0,7.0,4.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
Humanoid,FNC,Blue,2768445.0,35,Azir,268,21.0,14.0,1.0,4.0,6.0,134.0,221.0,108.0,3.287037037037037,8.0,6.0,0.6,81.13207547169812
Larssen,KOI,Blue,2768877.0,35,Azir,268,21.0,14.0,7.0,6.0,1.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
Ruby,TH,Blue,2768924.0,35,Azir,268,21.0,14.0,4.0,7.0,6.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Humanoid,FNC,Red,2768966.0,35,Azir,268,21.0,14.0,0.0,3.0,4.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
nuc,BDS,Blue,2768575.0,35,Azir,268,21.0,14.0,6.0,3.0,2.0,134.0,221.0,108.0,3.287037037037037,8.0,3.0,0.6,81.13207547169812
Humanoid,FNC,Blue,2776059.0,35,Azir,268,21.0,14.0,2.0,11.0,1.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
Perkz,VIT,Blue,2767145.0,35,Azir,268,21.0,14.0,9.0,9.0,2.0,134.0,221.0,108.0,3.287037037037037,8.0,5.0,0.6,81.13207547169812
nuc,BDS,Red,2774880.0,35,Azir,268,21.0,14.0,2.0,10.0,1.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Larssen,KOI,Blue,2768541.0,35,Azir,268,21.0,14.0,2.0,0.0,4.0,134.0,221.0,108.0,3.287037037037037,8.0,3.0,0.6,81.13207547169812
nuc,BDS,Red,2768092.0,35,Azir,268,21.0,14.0,2.0,4.0,2.0,134.0,221.0,108.0,3.287037037037037,8.0,,0.6,81.13207547169812
Caps,G2,Red,2773965.0,35,Azir,268,21.0,14.0,2.0,9.0,1.0,134.0,221.0,108.0,3.287037037037037,8.0,2.0,0.6,81.13207547169812
Larssen,KOI,Red,2769916.0,35,Azir,268,21.0,14.0,3.0,1.0,4.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Nisqy,MAD,Red,2776133.0,35,Azir,268,21.0,14.0,3.0,5.0,4.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Larssen,KOI,Blue,2777051.0,35,Azir,268,21.0,14.0,5.0,3.0,1.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
nuc,BDS,Red,2777097.0,35,Azir,268,21.0,14.0,7.0,10.0,2.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
Humanoid,FNC,Blue,2769159.0,35,Azir,268,21.0,14.0,1.0,3.0,4.0,134.0,221.0,108.0,3.287037037037037,8.0,4.0,0.6,81.13207547169812
nuc,BDS,Blue,2769929.0,35,Azir,268,21.0,14.0,5.0,8.0,2.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Perkz,VIT,Red,2769231.0,35,Azir,268,21.0,14.0,11.0,6.0,2.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
Perkz,VIT,Red,2768914.0,35,Azir,268,21.0,14.0,6.0,11.0,5.0,134.0,221.0,108.0,3.287037037037037,8.0,1.0,0.6,81.13207547169812
